,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
2992,㈜현렌트카,서울특별시 중랑구 용마산로116길 6(망우동),37.59916804,127.100896,서울특별시 성동구 자동차시장1길 89 (용답동),0
2993,(주)엠에이치 렌트카,경상북도 경주시 원화로 266 (경주역 소화물),35.84736123,129.2180537,경상북도 경주시 원화로 266 (경주역 소화물),48
2994,(주)우림렌터카,서울특별시 강동구 선사로 52,37.54315628,127.1207414419,서울특별시 성북구 보문로 168 성북구청 공영주차장,33
2995,(주)대구렌트카 성주영업소,경상북도 성주군 성주읍 성주읍1길 25,35.919956,128.2902791,,23
2996,(주)뉴그린렌트카 성주영업소,경상북도 성주군 성주읍 성주로 3276,35.91758975,128.2922065,,7
2997,지에스렌트카(주) 세종,,36.124731,128.183661,세종특별시 부강면 연청로,2
2998,(주)레드캡투어 세종 영업소,세종특별자치시 갈매로 364,36.496004,127.263926,세종특별자치시 갈매로 364,1
2999,에스케이렌터카(주) 세종 영업소,세종특별자치시 국세청로 4,36.485929,127.258865,세종특별자치시 국세청로 4,7
3000,㈜선진렌트카,"충청남도 공주시 전막2길 32-2, 1층 (신관동)",36.47179952,127.130947,,20
3001,(주)제이모빌리티,충청남도 공주시 정안면 정안중앙길 190,36.61113841,127.121679,,21
3002,대전렌트카(주),대전광역시 서구 둔산서로 9,36.347536,127.382606,세종특별자치시 부강면 연청로 745-46,152
3003,(주)리렌트카,"대전광역시 서구 문정로2번길 123, 206호(탄방동, 시티빌 5차)",36.343005,127.386818,세종특별자치시 부강면 연청로 745-46,38
3004,(주)세종렌트카 세종영업소,"세종특별자치시 한누리대로 2009, 505호(소담동, 펠리체타워2)",36.48494157,127.3006984,,61
3005,(주)참신렌트카여행사,"세종특별자치시 한누리대로 2144, 703호",36.47878302,127.287965,세종특별자치시 연기면 원닥골길 21,48
3006,(주)피플카 천안영업소,세종특별자치시 연동면 연청로 745-86,36.547901,127.351267,세종특별자치시 연동면 연청로 745-86,3
3007,주식회사 우솔렌트카,충청남도 공주시 신금1길 5-3(신관동),36.476519,127.1404984,,31
3008,㈜희망드림렌트카,"충청남도 공주시 무령로 195-2(교동), 1층",36.456658,127.121653,,25
3009,㈜그리드렌트카,충청남도 공주시 유구읍 중앙2길 80-11(2층),36.55139727,126.953585,세종특별자치시 연서면 부국길 171-3,27
3010,다카렌터카(주),"세종특별자치시 장군면 대교길 147, 1층",36.5093414,127.222383,세종특별자치시 장군면 대교길 147,81
3011,(주)골든레저,"충청남도 공주시 유구읍 중앙2길 120, 1층",36.554829,126.952696,세종특별자치시 장군면 하봉리 152번지,23
3012,(주)스마트렌트카 세종영업소,"세종특별자치시 조치원읍 주막거리길 5-1, 101호",36.58573327,127.2953475,세종특별자치시 조치원읍 주막거리길 5-1,8
3013,(합)나우렌트카,세종특별자치시 조치원읍 충현로 230,36.60900535,127.293832,세종특별자치시 조치원읍 충현로 230,76
3014,(자)기풍렌트카 세종영업소,세종특별자치시 조치원읍 충현로 230-2,36.609419491,127.2939139,세종특별자치시 조치원읍 충현로 230-2,3
3015,(주)조은렌트카(조치원),세종특별자치시 조치원읍 큰샘길 4,36.595569,127.291923,세종특별자치시 조치원읍 큰샘길 4,4
3016,롯데렌탈(주) 세종 영업소,세종특별자치시 한누리대로 157,36.479325,127.262471,세종특별자치시 한누리대로 157,39
3017,(주)모네타렌트카,"광주광역시 광산구 사암로24번길 69, (신촌동)",35.1455582738,126.8107542495,"광주광역시 광산구 사암로24번길 69, (신촌동)",101
3018,(주)엠에이치 렌트카 수영영업소,부산광역시 수영구 광남로 172번길 10,35.15576707,129.1193511,,0
3019,뉴드림렌트카 순창영업소,전라북도 순창군 순창읍 신기길 31-3,35.38791525,127.1403671,전라북도 순창군 순창읍 신기길 31-3,6
3020,(주)비엠렌터카,"경기도 시흥시 서촌상가2길 38,409호(정왕동)",37.34536062,126.7315309,경기도 시흥시 서촌상가2길 38,12
3021,영일기업 시흥영업소,경기도 시흥시 오동마을로 41,37.35193631,126.746313,경기도 시흥시 오동마을로 41,3
3022,경원렌트카(주) 정왕영업소,"경기도 시흥시 서촌상가4길 22, 비동 106호(정왕동, 화신오피스텔)",37.346002,126.7313248,,26
3023,경원렌트카(주) 배곧영업소,경기도 시흥시 서해안로 529,37.36801187,126.7320533,,5
3024,토토렌트카(주),,36.89602127,127.0380968,,117
3025,(주)조은렌트카,충청남도 아산시 번영로 84(온천동),36.78644975,127.0002006498,,52
3026,(주)대아렌트카,충청남도 아산시 아산로 76(온천동),36.7889540843,126.996651,,78
3027,(유)진렌트카 아산영업소,충청남도 아산시 남부로 346 (풍기동) 101호,36.7717128,127.0191663,,102
3028,한지렌트카,경상북도 경주시 승삼1길 5-3,35.87698637,129.228982,경상북도 경주시 승삼1길 5-3,32
3029,현대렌트카 안동영업소,,36.562871,128.728355,,0
3030,(주)영호렌트카,경상북도 안동시 풍산읍 풍산태사로 2401 (풍산읍),36.57438772,128.673037,경상북도 안동시 풍산읍 풍산태사로 2401,93
3031,킹덤렌트카,전라남도 신안군 압해읍 수련태도길 128-30,34.834117,126.365345,전라남도 신안군 압해읍 수련태도길 128-30,102
3032,우성렌트카,경상북도 경주시 양정로 155-8,35.84788963,129.2210900361,경상북도 경주시 양정로 155-8,66
3033,(주)브이카,서울특별시 성동구 금호로 102,37.55160942,127.0262728,서울특별시 양천구 곰달래로3길 13,212
3034,(주)가야렌트카,서울특별시 은평구 연서로 1,37.59925615,126.915362,서울특별시 양천구 남부순환로 380-1(신월동),54
3035,(주)경일알씨,서울특별시 강동구 선사로 52,37.54315628,127.1207414419,,284
3036,(주)브이카VIP리무진지점,,37.50013025,126.927633,서울특별시 양천구 목동중앙로3길 30-10,4
